2026-07-07 12:00:31,711 | INFO | __main__ | 🚀 Bot ishga tushirilmoqda...
2026-07-07 12:00:32,032 | INFO | bot.database.db | ✅ Jadvallar muvaffaqiyatli yaratildi.
2026-07-07 12:00:32,033 | INFO | __main__ | ✅ Ma'lumotlar bazasi tayyor.
2026-07-07 12:00:32,555 | INFO | __main__ | ✅ Bot muvaffaqiyatli ishga tushdi! Polling boshlandi...
2026-07-07 12:00:32,555 | INFO | aiogram.dispatcher | Start polling
2026-07-07 12:00:38,184 | INFO | aiogram.dispatcher | Run polling for bot @teeest_anime_bot id=8838659979 - 'test animebot'
2026-07-07 12:01:00,403 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8547063111
2026-07-07 12:01:00,404 | INFO | aiogram.event | Update id=131486034 is handled. Duration 390 ms by bot id=8838659979
2026-07-07 12:01:14,883 | INFO | aiogram.event | Update id=131486035 is handled. Duration 141 ms by bot id=8838659979
2026-07-07 12:01:22,912 | INFO | aiogram.event | Update id=131486036 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:01:28,704 | INFO | aiogram.event | Update id=131486037 is handled. Duration 313 ms by bot id=8838659979
2026-07-07 12:01:30,316 | INFO | aiogram.event | Update id=131486038 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:01:33,661 | INFO | aiogram.event | Update id=131486039 is handled. Duration 297 ms by bot id=8838659979
2026-07-07 12:01:44,617 | INFO | aiogram.event | Update id=131486040 is handled. Duration 561 ms by bot id=8838659979
2026-07-07 12:01:56,999 | INFO | aiogram.event | Update id=131486041 is handled. Duration 141 ms by bot id=8838659979
2026-07-07 12:02:01,364 | INFO | aiogram.event | Update id=131486042 is handled. Duration 139 ms by bot id=8838659979
2026-07-07 12:02:05,570 | INFO | aiogram.event | Update id=131486043 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:02:10,550 | INFO | aiogram.event | Update id=131486044 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:02:13,684 | INFO | bot.database.db | ✅ Anime qo'shildi: naruto (kod: 1)
2026-07-07 12:02:13,819 | INFO | aiogram.event | Update id=131486045 is handled. Duration 343 ms by bot id=8838659979
2026-07-07 12:02:21,372 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8547063111
2026-07-07 12:02:21,373 | INFO | aiogram.event | Update id=131486046 is handled. Duration 172 ms by bot id=8838659979
2026-07-07 12:02:24,643 | INFO | bot.handlers.user_handler | 🔍 Foydalanuvchi 8547063111 kod=1 qidirdi
2026-07-07 12:02:24,643 | INFO | aiogram.event | Update id=131486047 is handled. Duration 171 ms by bot id=8838659979
2026-07-07 12:02:27,559 | INFO | aiogram.event | Update id=131486048 is handled. Duration 390 ms by bot id=8838659979
2026-07-07 12:02:29,092 | INFO | aiogram.event | Update id=131486049 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:02:31,724 | INFO | aiogram.event | Update id=131486050 is handled. Duration 265 ms by bot id=8838659979
2026-07-07 12:02:32,820 | INFO | aiogram.event | Update id=131486051 is handled. Duration 250 ms by bot id=8838659979
2026-07-07 12:02:34,772 | INFO | aiogram.event | Update id=131486052 is handled. Duration 296 ms by bot id=8838659979
2026-07-07 12:02:36,051 | INFO | aiogram.event | Update id=131486053 is handled. Duration 250 ms by bot id=8838659979
2026-07-07 12:02:38,502 | INFO | aiogram.event | Update id=131486054 is handled. Duration 250 ms by bot id=8838659979
2026-07-07 12:02:39,122 | INFO | aiogram.event | Update id=131486055 is handled. Duration 266 ms by bot id=8838659979
2026-07-07 12:02:39,799 | INFO | aiogram.event | Update id=131486056 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:02:41,584 | INFO | aiogram.event | Update id=131486057 is handled. Duration 250 ms by bot id=8838659979
2026-07-07 12:02:48,047 | INFO | aiogram.event | Update id=131486058 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:02:52,332 | INFO | aiogram.event | Update id=131486059 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:02:58,288 | INFO | aiogram.event | Update id=131486060 is handled. Duration 250 ms by bot id=8838659979
2026-07-07 12:02:59,910 | INFO | aiogram.event | Update id=131486061 is not handled. Duration 0 ms by bot id=8838659979
2026-07-07 12:03:03,947 | INFO | aiogram.event | Update id=131486062 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:03:05,729 | INFO | aiogram.event | Update id=131486063 is handled. Duration 172 ms by bot id=8838659979
2026-07-07 12:03:08,744 | INFO | aiogram.event | Update id=131486064 is handled. Duration 139 ms by bot id=8838659979
2026-07-07 12:03:13,140 | INFO | aiogram.event | Update id=131486065 is handled. Duration 139 ms by bot id=8838659979
2026-07-07 12:04:49,720 | INFO | bot.database.db | ✅ Qism saqlandi: anime_id=1, ep=1
2026-07-07 12:04:50,219 | INFO | aiogram.event | Update id=131486066 is handled. Duration 672 ms by bot id=8838659979
2026-07-07 12:04:54,784 | INFO | aiogram.event | Update id=131486067 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:04:57,280 | INFO | aiogram.event | Update id=131486068 is handled. Duration 172 ms by bot id=8838659979
2026-07-07 12:04:59,730 | INFO | aiogram.event | Update id=131486069 is handled. Duration 250 ms by bot id=8838659979
2026-07-07 12:05:03,754 | INFO | bot.database.db | ✅ Anime yangilandi: ID=1, poster=AgACAgIAAxkBAAMyakylL03UnuO1atyqdKCKdGaEuYMAAssdaxs9wGFKBcDluhtC0NwBAAMCAAN5AAM8BA
2026-07-07 12:05:03,910 | INFO | aiogram.event | Update id=131486070 is handled. Duration 280 ms by bot id=8838659979
